Intrinsic name 	Technology 	Header 	Function prototype
_addcarry_u16 		intrin.h 	unsigned char _addcarry_u16(unsigned char, unsigned short, unsigned short, unsigned short *);
_addcarry_u32 		intrin.h 	unsigned char _addcarry_u32(unsigned char, unsigned int, unsigned int, unsigned int *);
_addcarry_u8 		intrin.h 	unsigned char _addcarry_u8(unsigned char, unsigned char, unsigned char, unsigned char *);
_addcarryx_u32 	ADX 	immintrin.h 	unsigned char _addcarryx_u32(unsigned char, unsigned int, unsigned int, unsigned int *);
__addfsbyte 		intrin.h 	void __addfsbyte(unsigned long, unsigned char);
__addfsdword 		intrin.h 	void __addfsdword(unsigned long, unsigned long);
__addfsword 		intrin.h 	void __addfsword(unsigned long, unsigned short);
_AddressOfReturnAddress 		intrin.h 	void * _AddressOfReturnAddress(void);
_andn_u32 	BMI 	ammintrin.h 	unsigned int _andn_u32(unsigned int, unsigned int);
_bextr_u32 	BMI 	ammintrin.h, immintrin.h 	unsigned int _bextr_u32(unsigned int, unsigned int, unsigned int);
_bextri_u32 	ABM 	ammintrin.h 	unsigned int _bextri_u32(unsigned int, unsigned int);
_BitScanForward 		intrin.h 	unsigned char _BitScanForward(unsigned long*, unsigned long);
_BitScanReverse 		intrin.h 	unsigned char _BitScanReverse(unsigned long*, unsigned long);
_bittest 		intrin.h 	unsigned char _bittest(long const *, long);
_bittestandcomplement 		intrin.h 	unsigned char _bittestandcomplement(long *, long);
_bittestandreset 		intrin.h 	unsigned char _bittestandreset(long *, long);
_bittestandset 		intrin.h 	unsigned char _bittestandset(long *, long);
_blcfill_u32 	ABM 	ammintrin.h 	unsigned int _blcfill_u32(unsigned int);
_blci_u32 	ABM 	ammintrin.h 	unsigned int _blci_u32(unsigned int);
_blcic_u32 	ABM 	ammintrin.h 	unsigned int _blcic_u32(unsigned int);
_blcmsk_u32 	ABM 	ammintrin.h 	unsigned int _blcmsk_u32(unsigned int);
_blcs_u32 	ABM 	ammintrin.h 	unsigned int _blcs_u32(unsigned int);
_blsfill_u32 	ABM 	ammintrin.h 	unsigned int _blsfill_u32(unsigned int);
_blsi_u32 	BMI 	ammintrin.h, immintrin.h 	unsigned int _blsi_u32(unsigned int);
_blsic_u32 	ABM 	ammintrin.h 	unsigned int _blsic_u32(unsigned int);
_blsmsk_u32 	BMI 	ammintrin.h, immintrin.h 	unsigned int _blsmsk_u32(unsigned int);
